House_Address,Price,Bedrooms,Bathrooms,SqFT,lot,yearbuilt,lastsoldifavailable,heattype,zillowdays,cooling,parking,basement,fireplace,floorcover
House_Address,Price,Bedrooms,Bathrooms,SqFT,lot,yearbuilt,lastsoldifavailable,heattype,zillowdays,cooling,parking,basement,fireplace,floorcover
"3751 Harbor Estates Ln , Champaign, IL 61822","$82,500 ",2 beds,2 baths,"1,149 sq ft",Contact for details,2009,"Jul 2012 for $82,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"618 Lauterbur Ln , Champaign, IL 61822","$112,000 ",2 beds,2 baths,"1,001 sq ft",Contact for details,2008,"Jul 2012 for $112,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"3728 Balcary Bay , Champaign, IL 61822","$82,000 ",2 beds,2 baths,"1,070 sq ft",Contact for details,2008,"Mar 2012 for $82,000",Forced air,Central,Unknown,Unknown,Unknown,Unknown,Unknown
"503 Corey Ln , Champaign, IL 61822","$103,000 ",2 beds,2 baths,995 sq ft,51.9 acres,2007,"Jul 2012 for $103,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"605 Lauterbur Ln , Champaign, IL 61822","$112,500 ",2 beds,2 baths,"1,001 sq ft",50 acres,2007,"Aug 2013 for $112,500","Forced air, Heat pump","Central, Other",Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"508 Doisy Ln , Champaign, IL 61822","$102,000 ",2 beds,2 baths,"1,025 sq ft","5,356 sqft",2007,"Jun 2012 for $102,000",Heat pump,Central,Garage - Attached,Unknown,Unknown,Unknown,Unknown
"411 Lauterbur Ln , Champaign, IL 61822","$108,000 ",2 beds,2 baths,"1,025 sq ft","7,405 sqft",2007,"Aug 2013 for $108,000",Heat pump,Other,Garage - Attached,Unknown,Unknown,Carpet,Unknown
"706 Doisy Ln , Champaign, IL 61822","$107,500 ",2 beds,2 baths,"1,000 sq ft",Contact for details,2006,"Oct 2011 for $107,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"604 Luria Ln , Champaign, IL 61822","$107,500 ",2 beds,2 baths,"1,025 sq ft","5,750 sqft",2006,"Apr 2013 for $107,500",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Tile",Unknown
"1402 Bluegrass Ln , Champaign, IL 61822","$107,000 ",2 beds,2 baths,"1,140 sq ft",Contact for details,2006,"May 2013 for $107,000",Forced air,Central,Unknown,Unknown,Unknown,Unknown,Unknown
"604 Yalow Dr , Champaign, IL 61822","$111,500 ",2 beds,2 baths,"1,014 sq ft","1,014 sqft",2006,"Sep 2013 for $111,500",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"508 Corey Ln , Champaign, IL 61822","$89,500 ",2 beds,2 baths,"1,000 sq ft","5,356 sqft",2005,"Aug 2013 for $89,500",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"511 Corey Ln , Champaign, IL 61822","$95,000 ",2 beds,2 baths,"1,000 sq ft",51.9 acres,2005,"Jul 2013 for $95,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"2405 Clayton Blvd APT 102 , Champaign, IL 61822","$87,000 ",2 beds,1 bath,"1,075 sq ft",Contact for details,2003,"Aug 2013 for $87,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Tile",Unknown
"310 Cedar St , Champaign, IL 61820","$1,800,000 ",1 bed,1 bath,650 sq ft,Contact for details,2002,"Oct 2012 for $1,800,000",Forced air,Central,Carport,Unknown,Unknown,Unknown,Unknown
"119 Roper St , Champaign, IL 61820","$27,500 ",3 beds,2 baths,"1,000 sq ft","6,200 sqft",2002,"Apr 2011 for $27,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"3322 Edward Hoffman Dr , Champaign, IL 61822","$89,900 ",1 bed,1 bath,947 sq ft,29 sqft,2000,"Jan 2013 for $84,000",Forced air,25,Central,Garage - Attached,Unknown,Unknown,"Hardwood, Laminate"
"3306 Edward Hoffman Dr , Champaign, IL 61822","$82,000 ",1 bed,1 bath,932 sq ft,Contact for details,1999,"May 2013 for $82,000",Contact for details,Unknown,Unknown,Unknown,No,Unknown,No
"3314 Edward Hoffman Dr , Champaign, IL 61822","$77,600 ",1 bed,1 bath,970 sq ft,971 sqft,1999,"Apr 2013 for $77,600",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"2617 Natalie Dr , Champaign, IL 61822","$114,000 ",2 beds,1 bath,"1,030 sq ft","1,028 sqft",1989,"Aug 2013 for $114,000",Forced air,Central,"Garage - Attached, Off street",Unknown,Unknown,"Hardwood, Laminate",Unknown
"2807 Natalie Dr , Champaign, IL 61822","$106,500 ",2 beds,2 baths,"1,076 sq ft",Contact for details,1989,"Mar 2013 for $106,500",Forced air,Central,Garage - Attached,Unknown,Yes,"Carpet, Linoleum / Vinyl",Yes
"2621 Natalie Dr , Champaign, IL 61822","$100,000 ",2 beds,1 bath,"1,123 sq ft",Contact for details,1989,"Sep 2013 for $100,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Tile",Unknown
"2823 Natalie Dr , Champaign, IL 61822","$106,500 ",2 beds,2 baths,"1,076 sq ft",Contact for details,1989,"Sep 2012 for $106,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
